latitude,longitude,datetime,decibel_level,hour,day_of_week,is_weekend,temperature_c,humidity_%,wind_speed_kmh,precipitation_mm,traffic_density,near_airport,near_highway,near_construction,population_density,park_proximity,industrial_zone,vehicle_count,honking_events,public_event,holiday,school_zone,noise_complaints,sensor_id,id,date_only,date,hour_of_day,noise_category
40.82904022426386,-74.0965037107808,2023-10-28T02:21:00.000Z,60.22354417395995,2,7,1,14.907057509314233,68.67232647370692,29.772148693494643,4.5920018131684595,4,0,0,0,4978,1,0,23,6,0,0,1,1,6,1,2023-10-28,2023-10-28,2,Moderate
40.52910520254568,-74.00724404763154,2023-02-24T23:20:00.000Z,77.59233239786799,23,6,0,25.874527817122686,42.563692065666054,27.434179696059676,1.0598342541386678,1,0,0,0,28275,1,0,18,2,0,0,0,1,25,2,2023-02-24,2023-02-24,23,Moderate
40.89491045172598,-73.85613897878473,2023-03-09T06:34:00.000Z,65.73196991001694,6,5,0,19.257355908423463,31.966142549731003,37.998200373288164,1.2790624209913237,1,0,1,1,24894,0,0,20,1,0,0,1,0,41,3,2023-03-09,2023-03-09,6,Moderate
40.569349438117904,-73.87758369798884,2023-01-07T13:48:00.000Z,76.81891092959961,13,7,1,19.12412603220232,35.51531202322914,15.971970241031435,0.42825444639542426,5,0,1,0,14402,1,0,17,5,0,0,0,0,48,4,2023-01-07,2023-01-07,13,Moderate
40.83224776311509,-73.87677062918104,2023-11-14T09:49:00.000Z,57.60628592540964,9,3,0,26.897457282049235,74.9418088371456,7.085418191720101,4.5012688913867995,5,0,1,0,10425,0,0,25,4,0,0,0,1,39,5,2023-11-14,2023-11-14,9,Moderate
40.50185280920184,-74.0856616101982,2023-01-01T19:47:00.000Z,54.50344501090059,19,1,1,21.40416995345155,47.4035811233811,30.253271459206363,0.9463958041882774,1,0,0,0,21378,1,0,25,4,0,1,0,1,8,6,2023-01-01,2023-01-01,19,Low
40.63672694067915,-74.08693733437516,2023-08-13T22:30:00.000Z,58.67119725115208,22,1,1,16.08946675842141,42.75930498801851,6.223612975400314,1.7991596313990412,4,0,0,0,8477,1,0,18,2,0,0,1,1,2,7,2023-08-13,2023-08-13,22,Moderate
40.5365947349591,-73.83063842463672,2023-03-20T04:57:00.000Z,44.78201360038052,4,2,0,15.176985456623429,56.488742767684606,12.619568259288956,1.2630749036489595,1,1,1,0,22875,1,1,15,1,0,0,0,0,34,8,2023-03-20,2023-03-20,4,Low
40.85145199454206,-74.01577554004172,2023-09-23T20:36:00.000Z,72.03427916787308,20,7,1,25.893804061615004,38.32270083259166,10.85074345932707,0.20554178354035857,5,0,0,0,4506,1,0,18,2,1,1,1,1,35,9,2023-09-23,2023-09-23,20,Moderate
40.528978755117826,-74.1654770468427,2023-05-07T08:55:00.000Z,74.45869643684145,8,1,1,18.963633586076323,54.131890663469264,7.7621552098242,0.9047373459761077,3,0,0,0,11174,1,0,21,2,0,0,0,0,5,10,2023-05-07,2023-05-07,8,Moderate
40.89853356642269,-74.10251240004986,2023-04-06T01:35:00.000Z,55.42431044984788,1,5,0,11.65346018391995,25.756325505742037,22.925116930902586,1.9397743400657248,3,0,1,0,19982,1,0,24,6,0,0,0,1,7,11,2023-04-06,2023-04-06,1,Moderate
40.53426329983857,-74.01391337237655,2023-03-31T18:31:00.000Z,50.027423548213555,18,6,0,20.422821301584058,37.314596027242,15.898157026681075,2.5225938256809317,2,0,0,1,18157,0,0,28,2,0,0,0,0,35,12,2023-03-31,2023-03-31,18,Low
40.70488876832507,-73.90257631024905,2023-07-30T23:00:00.000Z,67.40205843946222,23,1,1,8.672861564738039,51.48077874144743,24.930300386925254,0.04589629658078519,3,0,0,0,25224,0,0,12,4,0,0,0,1,49,13,2023-07-30,2023-07-30,23,Moderate
40.74044600469728,-74.1673169212178,2023-09-22T03:53:00.000Z,61.100762934405545,3,6,0,14.475012667645977,54.151362419864164,1.6005252214049737,0.37227228609471835,2,0,0,1,9505,1,1,27,4,0,1,0,1,31,14,2023-09-22,2023-09-22,3,Moderate
40.85942167541083,-74.1789876624143,2023-03-04T04:04:00.000Z,48.1265565288929,4,7,1,18.79871044558564,77.42050724264242,13.692291393100788,1.0367628713594543,2,0,1,0,9511,1,0,19,5,0,1,0,2,46,15,2023-03-04,2023-03-04,4,Low
40.697007077527545,-73.77386806280441,2023-09-16T14:13:00.000Z,56.97175556049157,14,7,1,19.13188968693327,45.892203795368744,18.198412695720442,1.3064378824459675,2,0,1,0,20191,1,0,23,3,0,1,0,2,4,16,2023-09-16,2023-09-16,14,Moderate
40.74600289067967,-73.81306017213493,2023-12-12T00:48:00.000Z,52.07374652847737,0,3,0,14.007801525494738,24.080804270364993,14.525148419585436,1.6668586144155488,3,0,0,0,20766,1,0,26,2,1,0,1,0,37,17,2023-12-12,2023-12-12,0,Low
40.71443854653765,-73.81773610267264,2023-08-22T14:25:00.000Z,87.12531039397243,14,3,0,13.29941455113618,76.29420351084467,26.550669444868,0.04324180593302966,5,0,1,0,13600,1,0,22,3,0,0,0,1,5,18,2023-08-22,2023-08-22,14,High
